Dates,Prec,ETP,Q_obs
02/06/1967,    5.4242,4.6855968479,5.2160000801
03/06/1967,    9.5654,2.6616724478,7.7319998741
04/06/1967,    2.4759,3.31886202,9.4720001221
05/06/1967,    0.1415,4.5505098589,9.1639995575
06/06/1967,    2.0487,4.24127868,8.2069997787
07/06/1967,   16.9120,2.5319820018,7.9450001717
08/06/1967,    0.4759,3.8247316256,7.5130000114
09/06/1967,    1.0527,3.1166275116,9.7889995575
10/06/1967,    4.0309,3.771585335,20.1599998474
11/06/1967,    1.5523,3.9689618582,22.4599990845
12/06/1967,    7.2709,4.5370443836,19.9200000763
13/06/1967,    1.4058,3.7470781896,18.2900009155
14/06/1967,    6.9589,2.5299831675,16.1900005341
15/06/1967,    5.4561,3.3982916921,14.7399997711
16/06/1967,    0.4458,3.7912929766,14.1099996567
17/06/1967,    6.6653,4.4716819432,12.3699998856
18/06/1967,    9.4743,4.2918678205,10.0399999619
19/06/1967,    4.3334,3.2023198092,9.5089998245
20/06/1967,    9.1557,3.1248573428,11.4099998474
21/06/1967,   17.5652,3.9914251892,14.6000003815
22/06/1967,   16.7588,4.142405251,19.4300003052
23/06/1967,    5.3966,3.3611160796,31.00
24/06/1967,    7.6613,4.5590614285,100.00
25/06/1967,    3.9363,3.123673019,135.3000030518
26/06/1967,    6.5320,2.7096720561,118.6999969482
27/06/1967,   10.7313,3.3242456578,96.4199981689
28/06/1967,    1.9578,4.4446585793,68.6399993896
29/06/1967,    1.8244,4.2738024481,51.0800018311
30/06/1967,    4.9843,2.9923997624,42.3100013733
01/07/1967,   13.3577,3.3072029781,36.4599990845
02/07/1967,    0.1251,2.8837642996,33.9300003052
03/07/1967,    4.6777,3.2229354894,33.3800010681
04/07/1967,    6.4350,2.888436811,40.75
05/07/1967,    5.9187,3.0240363767,41.6899986267
06/07/1967,    1.1379,3.7437795,39.2900009155
07/07/1967,    1.0094,3.7152078999,35.2900009155
08/07/1967,    2.1195,3.3202533992,33.3800010681
09/07/1967,    0.8485,3.1603746628,30.4400005341
10/07/1967,    5.7030,2.9497126164,24.5599994659
11/07/1967,    0.5439,2.5271495152,20.2900009155
12/07/1967,    1.6740,3.3695757156,17.9200000763
13/07/1967,    6.6652,3.6766893901,16.5499992371
14/07/1967,   20.7997,3.4831339186,16.1299991608
15/07/1967,    9.2722,3.5294810496,19.9300003052
16/07/1967,    4.6047,3.2391225509,51.1699981689
17/07/1967,    1.0264,2.92526777,58.4500007629
18/07/1967,    4.3592,3.0084365876,56.9099998474
19/07/1967,    6.5907,3.4282698436,51.2599983215
20/07/1967,    2.1796,2.719052936,44.9500007629
21/07/1967,    5.8212,3.2873544199,36.2999992371
22/07/1967,    0.3144,3.68154673,53.7400016785
23/07/1967,    2.5432,3.3325816188,124.9000015259
24/07/1967,    8.4231,2.9632265167,125.4000015259
25/07/1967,   12.1764,3.1256852178,100.8000030518
26/07/1967,    3.2939,3.0379261561,88.5400009155
27/07/1967,    2.6666,2.8099752422,86.8399963379
28/07/1967,    4.5901,2.8073568093,86.2099990845
29/07/1967,    5.2367,3.0758803338,96.1399993896
30/07/1967,    1.2813,2.7676342754,164.3999938965
31/07/1967,   10.3743,3.2201261101,223.1000061035
01/08/1967,    5.5140,3.083080193,239.5
02/08/1967,    4.9968,2.6838234747,241.5
03/08/1967,   11.7337,3.1083891755,271.6000061035
04/08/1967,    2.4137,2.9852378722,294.299987793
05/08/1967,    1.1086,3.0370641686,317.299987793
06/08/1967,    0.1352,2.6442496376,329.5
07/08/1967,    1.4981,2.6178373368,310.3999938965
08/08/1967,    7.9815,4.29495872,288.6000061035
09/08/1967,   15.9750,3.0500987405,269.299987793
10/08/1967,    9.5656,2.6246734438,258.1000061035
11/08/1967,    4.6361,3.1245189272,269.299987793
12/08/1967,    8.4070,3.8847178705,317.8999938965
13/08/1967,   15.5671,2.8562510042,370.6000061035
14/08/1967,    3.1814,2.8995279865,378.200012207
15/08/1967,    3.7606,3.6802715538,379.8999938965
16/08/1967,    1.2346,2.7720159981,420.200012207
17/08/1967,   12.4645,2.6647894066,476.1000061035
18/08/1967,    1.4067,3.6997612901,508.1000061035
19/08/1967,    1.9854,3.4780024402,539.799987793
20/08/1967,   14.5245,2.2766528931,570.9000244141
21/08/1967,   36.7906,2.5666683028,598.00
22/08/1967,    9.8179,3.338494177,615.00
23/08/1967,    0.3094,3.136586085,653.799987793
24/08/1967,    4.9289,3.6177553283,698.5
25/08/1967,   13.1367,2.4019876709,723.5999755859
26/08/1967,   19.7973,2.4753248598,742.299987793
27/08/1967,    2.0967,2.9811820285,763.00
28/08/1967,    1.5352,3.1490784679,783.5999755859
29/08/1967,    2.5977,3.0676644603,801.4000244141
30/08/1967,    1.3614,4.3929754198,813.299987793
31/08/1967,    0.8305,3.9271634044,814.9000244141
01/09/1967,    0.5489,3.1090648547,812.5
02/09/1967,    7.0127,3.0472158333,812.299987793
03/09/1967,    0.8108,3.9087260785,799.799987793
04/09/1967,    3.8438,4.3991804402,785.799987793
05/09/1967,    1.7318,3.0760577209,776.799987793
06/09/1967,    4.5392,3.215211072,763.799987793
07/09/1967,    4.2042,2.6565653393,746.799987793
08/09/1967,    9.8974,2.4064949788,730.799987793
09/09/1967,   18.9963,2.7181988042,715.5999755859
10/09/1967,    6.4523,3.2722040713,700.299987793
11/09/1967,   11.1231,2.8174781222,709.9000244141
12/09/1967,   12.6753,3.3419791739,750.4000244141
13/09/1967,    4.4627,4.0035098772,794.799987793
14/09/1967,    3.8001,4.2100026254,824.0999755859
15/09/1967,   10.5857,3.6623244286,857.299987793
16/09/1967,   12.3550,4.0855328105,885.299987793
17/09/1967,   15.8772,3.2882313812,907.200012207
18/09/1967,    7.1268,3.6701179957,941.4000244141
19/09/1967,    5.2049,3.8353104452,958.0999755859
20/09/1967,    1.1745,3.1484712306,971.200012207
21/09/1967,    0.2932,3.4115448715,981.700012207
22/09/1967,    4.6900,3.3936559865,993.299987793
23/09/1967,    4.4334,3.7806660468,1007.00
24/09/1967,    2.1148,2.7960672528,1020.00
25/09/1967,    2.9476,3.6922830744,1029.00
26/09/1967,    0.6354,2.9430862796,1036.00
27/09/1967,   12.8714,3.454473759,1036.00
28/09/1967,   11.9582,3.7397689587,1021.00
29/09/1967,    5.9831,3.5306642381,1005.00
30/09/1967,    3.8470,2.8433153285,987.5
01/10/1967,    2.9136,3.8866502624,969.9000244141
02/10/1967,    1.7669,4.0568303354,953.5999755859
03/10/1967,    1.6122,4.1010915861,955.9000244141
04/10/1967,   11.4623,2.4477857277,944.200012207
05/10/1967,    5.5152,2.8720372738,931.700012207
06/10/1967,    5.6881,3.3277079221,913.200012207
07/10/1967,    6.5956,2.4951384552,893.200012207
08/10/1967,    6.8118,3.2451647418,880.200012207
09/10/1967,    0.0000,4.3016054165,873.00
10/10/1967,    2.3568,4.1824271418,866.299987793
11/10/1967,    4.4121,3.8547736118,865.4000244141
12/10/1967,    4.4420,4.2075107191,856.4000244141
13/10/1967,    0.9442,3.9588017501,848.9000244141
14/10/1967,    1.2314,3.5730346385,838.700012207
15/10/1967,   12.9477,3.3369674906,820.5999755859
16/10/1967,    7.1441,3.351050863,795.299987793
17/10/1967,    6.0285,3.386014902,770.0999755859
18/10/1967,    4.2829,3.9113777261,755.200012207
19/10/1967,    4.6093,3.5563154127,745.5999755859
20/10/1967,    0.0000,3.2000812041,729.0999755859
21/10/1967,    2.2389,3.8239469081,700.799987793
22/10/1967,    0.0185,4.1360571794,677.4000244141
23/10/1967,    0.0000,4.0717427135,656.200012207
24/10/1967,    0.0000,4.1266292613,638.9000244141
25/10/1967,    0.2966,4.434337832,604.00
26/10/1967,    0.1328,3.6899876418,566.5999755859
27/10/1967,    1.6464,4.2668041158,525.5
28/10/1967,    0.5315,4.1311524566,489.1000061035
29/10/1967,    0.0000,2.9060513526,449.1000061035
30/10/1967,    0.5197,3.5946837384,429.00
31/10/1967,    4.0470,4.4423030391,409.8999938965
01/11/1967,    0.0000,4.3192813825,391.00
02/11/1967,    0.1345,4.3090021964,366.299987793
03/11/1967,    0.8276,3.832260373,340.1000061035
04/11/1967,    3.3810,3.240800174,307.299987793
05/11/1967,    0.0000,3.4746951675,279.1000061035
06/11/1967,    0.0000,4.065589143,256.6000061035
07/11/1967,    0.0000,3.8767067473,240.1999969482
08/11/1967,    1.4621,4.5108838566,218.6999969482
09/11/1967,    2.2052,3.7173521323,192.8999938965
10/11/1967,    0.9412,3.8759635864,168.8999938965
11/11/1967,    5.2635,4.0400598608,156.6000061035
12/11/1967,    0.0000,3.7781920051,149.5
13/11/1967,    0.0000,4.1969461031,145.6999969482
14/11/1967,    0.0000,4.1295787469,138.8000030518
15/11/1967,    0.0000,3.844961443,127.5
16/11/1967,    0.0000,4.3653168716,116.9000015259
17/11/1967,    0.0404,4.176583536,103.4000015259
18/11/1967,    0.0000,4.0450013988,91.9300003052
19/11/1967,    0.0000,3.7293179203,83.7900009155
20/11/1967,    0.0000,4.1495067142,77.25
21/11/1967,    0.0000,4.197958203,69.7099990845
22/11/1967,    0.0000,4.1383089051,64.3799972534
23/11/1967,    0.0000,3.6102997605,58.5699996948
24/11/1967,    0.0000,3.8589458885,53.0299987793
25/11/1967,    0.0000,4.1436729506,48.4500007629
26/11/1967,    0.0000,4.13088925,44.7700004578
27/11/1967,    0.0000,3.8402396822,42.2400016785
28/11/1967,    0.0000,3.9040208533,39.9000015259
29/11/1967,    0.0000,4.1834536437,37.5999984741
30/11/1967,    0.0000,4.0034509208,36.2799987793
01/12/1967,    0.0000,3.7539130254,35.3800010681
02/12/1967,    0.9827,3.923274993,33.7999992371
03/12/1967,   11.8518,3.9372088676,31.3999996185
04/12/1967,    8.9861,3.3692002501,29.4599990845
05/12/1967,    0.0000,3.5329061905,28.7399997711
06/12/1967,    0.0000,3.6470418973,28.2199993134
07/12/1967,    0.0000,3.5173265282,27.7099990845
08/12/1967,    1.3193,4.3397628497,27.1700000763
09/12/1967,    0.1063,4.4291532692,26.2999992371
10/12/1967,    0.0000,4.0741249602,25.3700008392
11/12/1967,    0.0000,3.3563470459,24.4300003052
12/12/1967,    1.5135,4.0618722104,23.3899993896
13/12/1967,    0.0269,3.8229309889,21.7999992371
14/12/1967,    0.0000,4.3142977804,20.7999992371
15/12/1967,    0.0000,4.4895727243,19.7099990845
16/12/1967,    0.0000,4.1604623646,19.1399993896
17/12/1967,    0.0000,3.6631690059,18.4099998474
18/12/1967,    0.0266,3.191021868,18.00
19/12/1967,    0.1360,3.2489421302,17.8999996185
20/12/1967,    2.6403,4.1353030968,17.4799995422
21/12/1967,   10.0471,4.0859767776,16.6200008392
22/12/1967,    0.0000,2.9807796329,15.3500003815
23/12/1967,    0.0000,3.4664583029,14.5399999619
24/12/1967,    0.0000,3.2154688342,13.8199996948
